unique_id	gene	category	length	cluster
B069892	ENSG00000163945	NNC	245	B069892
B030948	ENSG00000130726	FSM	439	B030948
B102190	ENSG00000130726	NIC	137	B102190
B059219	ENSG00000130726	NNC	286	B071392
B055667	ENSG00000148290	FSM	300	B057274
B058645	ENSG00000148290	NIC	288	B071832
B056860	ENSG00000148290	NNC	296	B057274
B088138	ENSG00000186591	FSM	183	B097819
B098245	ENSG00000186591	NIC	150	B098862
B100199	ENSG00000186591	NNC	144	B100199
B063521	ENSG00000105854	FSM	268	B066793
B058101	ENSG00000105854	NIC	290	B063005
B043671	ENSG00000105854	NNC	358	B044273
B087173	ENSG00000082898	FSM	186	B087173
B063365	ENSG00000082898	NIC	269	B063578
B065317	ENSG00000082898	NNC	262	B065317
B007063	ENSG00000123908	FSM	813	B008597
B037336	ENSG00000123908	NIC	395	B037336
B052413	ENSG00000123908	NNC	315	B052413
B035593	ENSG00000168014	FSM	406	B035593
B062549	ENSG00000168014	NIC	272	B072946
B084625	ENSG00000168014	NNC	195	B084625
B059498	ENSG00000278023	FSM	284	B070376
B067346	ENSG00000278023	NIC	254	B072324
B067911	ENSG00000278023	NNC	252	B072324
B050709	ENSG00000181544	FSM	322	B050709
B045009	ENSG00000181544	NIC	350	B045009
B018670	ENSG00000181544	NNC	561	B018670
B099370	ENSG00000146776	FSM	146	B107374
B018636	ENSG00000146776	NIC	561	B018636
B052196	ENSG00000146776	NNC	316	B052196
B076647	ENSG00000063241	FSM	221	B078556
B071201	ENSG00000063241	NIC	240	B071201
B096588	ENSG00000063241	NNC	156	B102603
B102352	ENSG00000112739	FSM	136	B109439
B072372	ENSG00000112739	NIC	236	B072372
B083030	ENSG00000112739	NNC	200	B083030
B012587	ENSG00000157601	FSM	662	B013726
B064901	ENSG00000157601	NIC	263	B064901
B049316	ENSG00000157601	NNC	329	B049316
B033814	ENSG00000156875	FSM	418	B031789
B060576	ENSG00000156875	NIC	280	B064610
B039739	ENSG00000156875	NNC	380	B034020
B110804	ENSG00000144028	FSM	106	B110804
B081076	ENSG00000144028	NIC	206	B081076
B055140	ENSG00000144028	NNC	303	B060129
B054213	ENSG00000278845	FSM	306	B056025
B072954	ENSG00000278845	NIC	234	B072954
B077166	ENSG00000278845	NNC	220	B084456
B082228	ENSG00000145781	FSM	202	B093787
B089183	ENSG00000145781	NIC	180	B089183
B074472	ENSG00000145781	NNC	229	B074472
B084738	ENSG00000135387	FSM	194	B086711
B053434	ENSG00000135387	NIC	310	B053434
B065904	ENSG00000135387	NNC	260	B065904
B085684	ENSG00000176248	FSM	191	B085684
B063387	ENSG00000176248	NIC	269	B063387
B053742	ENSG00000176248	NNC	309	B053742
B089365	ENSG00000290832	FSM	179	B088618
B097970	ENSG00000290832	NIC	151	B097970
B106138	ENSG00000290832	NNC	123	B107952
B061228	ENSG00000189057	FSM	277	B060605
B060605	ENSG00000189057	NIC	280	B060605
B047945	ENSG00000189057	NNC	336	B047945
B004252	ENSG00000014164	FSM	948	B004252
B061534	ENSG00000014164	NIC	276	B061534
B088689	ENSG00000014164	NNC	182	B088689
B032399	ENSG00000136699	FSM	428	B032399
B072640	ENSG00000136699	NIC	235	B072640
B076222	ENSG00000136699	NNC	223	B076222
B061206	ENSG00000064545	FSM	277	B061206
B052078	ENSG00000064545	NIC	316	B052078
B029589	ENSG00000064545	NNC	450	B037644
B074570	ENSG00000135930	FSM	228	B074330
B099787	ENSG00000135930	NIC	145	B103313
B113824	ENSG00000135930	NNC	96	B113824
B085065	ENSG00000158526	FSM	193	B089939
B078762	ENSG00000158526	NIC	214	B091341
B102306	ENSG00000158526	NNC	137	B103134
B065113	ENSG00000148187	FSM	262	B066179
B076497	ENSG00000148187	NIC	222	B076497
B071985	ENSG00000148187	NNC	238	B082947
B060242	ENSG00000185803	FSM	281	B065189
B034595	ENSG00000185803	NIC	413	B043706
B103687	ENSG00000185803	NNC	132	B103687
B047357	ENSG00000105983	FSM	338	B047357
B062569	ENSG00000105983	NIC	272	B062569
B043994	ENSG00000105983	NNC	356	B043994
B054005	ENSG00000157064	FSM	307	B064354
B079292	ENSG00000157064	NIC	212	B079292
B097808	ENSG00000157064	NNC	152	B097808
B113850	ENSG00000137726	FSM	95	B115271
B094015	ENSG00000137726	NIC	164	B094015
B103889	ENSG00000137726	NNC	131	B103889
B064286	ENSG00000164627	FSM	265	B073834
B108326	ENSG00000164627	NIC	115	B108326
B084601	ENSG00000164627	NNC	195	B084601
B070835	ENSG00000189079	FSM	241	B070835
B071252	ENSG00000189079	NIC	240	B071252
B006815	ENSG00000189079	NNC	823	B007249
B107909	ENSG00000166938	FSM	116	B107909
B063812	ENSG00000166938	NIC	267	B063812
B059943	ENSG00000166938	NNC	283	B059943
B046299	ENSG00000112033	FSM	343	B051450
B065783	ENSG00000112033	NIC	260	B065783
B088336	ENSG00000112033	NNC	183	B088336
B043104	ENSG00000116874	FSM	360	B043104
B061999	ENSG00000116874	NIC	274	B061999
B080264	ENSG00000116874	NNC	209	B080264
B030677	ENSG00000173320	FSM	441	B030677
B008382	ENSG00000173320	NIC	766	B008382
B007976	ENSG00000173320	NNC	779	B008382
B104555	ENSG00000225663	FSM	128	B104555
B098891	ENSG00000225663	NIC	148	B098891
B108403	ENSG00000225663	NNC	115	B108449
B057355	ENSG00000185189	FSM	293	B066240
B097972	ENSG00000185189	NIC	151	B097972
B032489	ENSG00000185189	NNC	428	B023889
B097273	ENSG00000138190	FSM	153	B097273
B067900	ENSG00000138190	NIC	252	B067900
B060204	ENSG00000138190	NNC	282	B060204
B010807	ENSG00000100092	FSM	701	B015649
B020193	ENSG00000100092	NIC	542	B015649
B050018	ENSG00000100092	NNC	326	B050018
B069979	ENSG00000087302	FSM	244	B078518
B085423	ENSG00000087302	NIC	192	B088183
B068193	ENSG00000087302	NNC	251	B078518
B030976	ENSG00000132740	FSM	439	B030976
B065240	ENSG00000132740	NIC	262	B065240
B043083	ENSG00000132740	NNC	361	B043083
B054697	ENSG00000103707	FSM	304	B054697
B052270	ENSG00000103707	NIC	315	B048010
B063977	ENSG00000103707	NNC	267	B075200
B029243	ENSG00000166035	FSM	452	B032703
B067601	ENSG00000166035	NIC	253	B067601
B054378	ENSG00000166035	NNC	306	B054378
B053327	ENSG00000067221	FSM	310	B044047
B091909	ENSG00000067221	NIC	171	B091909
B075600	ENSG00000067221	NNC	225	B075600
B052894	ENSG00000133250	FSM	312	B054089
B090027	ENSG00000133250	NIC	177	B090027
B035071	ENSG00000133250	NNC	410	B038073
B083124	ENSG00000144834	FSM	199	B083122
B101844	ENSG00000144834	NIC	138	B101844
B080968	ENSG00000144834	NNC	207	B080968
B045318	ENSG00000291110	FSM	348	B036234
B029515	ENSG00000291110	NIC	450	B036234
B109856	ENSG00000291110	NNC	110	B113772
B047566	ENSG00000113712	FSM	337	B057650
B077638	ENSG00000113712	NIC	218	B077638
B101412	ENSG00000113712	NNC	140	B104752
B112785	ENSG00000116641	FSM	99	B112785
B075564	ENSG00000116641	NIC	225	B075564
B064217	ENSG00000116641	NNC	266	B064217
B058790	ENSG00000196923	FSM	287	B058790
B053622	ENSG00000196923	NIC	309	B053622
B069072	ENSG00000196923	NNC	248	B069072
B059051	ENSG00000167986	FSM	286	B059051
B056015	ENSG00000167986	NIC	299	B056015
B078026	ENSG00000167986	NNC	217	B090184
B007624	ENSG00000164675	FSM	791	B008479
B086084	ENSG00000164675	NIC	190	B086084
B032329	ENSG00000164675	NNC	429	B032329
B051540	ENSG00000101911	FSM	318	B056802
B095880	ENSG00000101911	NIC	158	B102307
B074234	ENSG00000101911	NNC	230	B074234
B026946	ENSG00000164169	FSM	472	B031291
B059826	ENSG00000164169	NIC	283	B059826
B016199	ENSG00000164169	NNC	598	B016199
B075725	ENSG00000180329	FSM	224	B075725
B096485	ENSG00000180329	NIC	156	B098996
B095329	ENSG00000180329	NNC	160	B095329
B050277	ENSG00000273749	FSM	324	B050277
B084448	ENSG00000273749	NIC	195	B091596
B055301	ENSG00000273749	NNC	302	B055301
B068592	ENSG00000144535	FSM	249	B079438
B061317	ENSG00000144535	NIC	277	B061317
B040593	ENSG00000144535	NNC	375	B040593
B064266	ENSG00000134779	FSM	265	B067763
B081399	ENSG00000134779	NIC	205	B083910
B080256	ENSG00000134779	NNC	209	B089330
B104299	ENSG00000116580	FSM	129	B104299
B082069	ENSG00000116580	NIC	203	B091112
B014216	ENSG00000116580	NNC	630	B014216
B057351	ENSG00000117868	FSM	293	B070965
B050142	ENSG00000117868	NIC	325	B050142
B050263	ENSG00000117868	NNC	325	B050263
B109371	ENSG00000214087	FSM	111	B108102
B105182	ENSG00000214087	NIC	126	B105182
B087743	ENSG00000214087	NNC	185	B097124
B103209	ENSG00000275066	FSM	133	B103209
B044318	ENSG00000275066	NIC	354	B044318
B055594	ENSG00000275066	NNC	301	B055594
B052433	ENSG00000186017	FSM	314	B040743
B055032	ENSG00000186017	NIC	303	B068277
B029201	ENSG00000186017	NNC	453	B019672
B053147	ENSG00000015676	FSM	311	B052738
B058099	ENSG00000015676	NIC	290	B058099
B085566	ENSG00000015676	NNC	192	B085566
B035760	ENSG00000117984	FSM	405	B041454
B050568	ENSG00000117984	NIC	323	B050568
B079407	ENSG00000117984	NNC	212	B079407
B052887	ENSG00000007520	FSM	312	B063401
B055944	ENSG00000007520	NIC	299	B071185
B090524	ENSG00000007520	NNC	176	B090524
B060731	ENSG00000069849	FSM	279	B062953
B103807	ENSG00000069849	NIC	131	B103807
B071097	ENSG00000069849	NNC	241	B071097
B057570	ENSG00000166971	FSM	292	B059781
B086321	ENSG00000166971	NIC	189	B086611
B101634	ENSG00000166971	NNC	139	B101634
B014105	ENSG00000153815	FSM	631	B012264
B079263	ENSG00000153815	NIC	212	B079263
B064428	ENSG00000153815	NNC	265	B064428
B069203	ENSG00000156831	FSM	247	B080398
B077959	ENSG00000156831	NIC	217	B086968
B060647	ENSG00000156831	NNC	280	B060647
B010562	ENSG00000135249	FSM	707	B011226
B063848	ENSG00000135249	NIC	267	B077037
B042551	ENSG00000135249	NNC	364	B042551
B102586	ENSG00000179912	FSM	135	B093315
B074689	ENSG00000179912	NIC	228	B074689
B090840	ENSG00000179912	NNC	175	B090840
B067761	ENSG00000108474	FSM	252	B075506
B062764	ENSG00000108474	NIC	271	B062764
B088359	ENSG00000108474	NNC	183	B090787
B068047	ENSG00000176428	FSM	251	B068822
B095582	ENSG00000176428	NIC	159	B095582
B091129	ENSG00000176428	NNC	174	B099799
B046072	ENSG00000185634	FSM	344	B046072
B080508	ENSG00000185634	NIC	208	B080508
B075079	ENSG00000185634	NNC	227	B088040
B079521	ENSG00000088038	FSM	211	B079521
B010072	ENSG00000088038	NIC	719	B010098
B067970	ENSG00000088038	NNC	252	B067970
B073701	ENSG00000079462	FSM	231	B083164
B086071	ENSG00000079462	NIC	190	B080680
B077779	ENSG00000079462	NNC	218	B077779
B039437	ENSG00000150995	FSM	381	B039437
B002473	ENSG00000150995	NIC	1095	B002473
B057025	ENSG00000150995	NNC	295	B057025
B115091	ENSG00000157741	FSM	91	B115091
B011352	ENSG00000157741	NIC	689	B016612
B028625	ENSG00000157741	NNC	458	B028625
B110861	ENSG00000137200	FSM	106	B110861
B053867	ENSG00000137200	NIC	308	B055802
B023673	ENSG00000137200	NNC	504	B023673
B077845	ENSG00000135048	FSM	217	B082869
B012845	ENSG00000135048	NIC	657	B012845
B107859	ENSG00000135048	NNC	117	B107859
B015378	ENSG00000085274	FSM	610	B021400
B019526	ENSG00000085274	NIC	550	B021400
B024465	ENSG00000085274	NNC	496	B021400
B105972	ENSG00000044446	FSM	123	B105972
B066050	ENSG00000044446	NIC	259	B066050
B079402	ENSG00000044446	NNC	212	B085928
B102891	ENSG00000163029	FSM	134	B102891
B068170	ENSG00000163029	NIC	251	B068170
B033375	ENSG00000163029	NNC	422	B033375
B096103	ENSG00000158161	FSM	157	B096103
B073290	ENSG00000158161	NIC	233	B073290
B055578	ENSG00000158161	NNC	301	B055578
B112480	ENSG00000119698	FSM	100	B112480
B097308	ENSG00000119698	NIC	153	B097308
B053676	ENSG00000119698	NNC	309	B053676
B064582	ENSG00000135318	FSM	264	B066876
B025809	ENSG00000135318	NIC	483	B020893
B040399	ENSG00000135318	NNC	376	B040399
B052902	ENSG00000163166	FSM	312	B064939
B027175	ENSG00000163166	NIC	470	B027175
B047051	ENSG00000163166	NNC	340	B047051
B012349	ENSG00000047315	FSM	667	B012349
B057398	ENSG00000047315	NIC	293	B057398
B066688	ENSG00000047315	NNC	257	B066688
B038408	ENSG00000138162	FSM	388	B026225
B003641	ENSG00000138162	NIC	992	B004577
B070242	ENSG00000138162	NNC	244	B071925
B114184	ENSG00000100226	FSM	94	B114184
B062561	ENSG00000100226	NIC	272	B062561
B027215	ENSG00000100226	NNC	470	B027215
B090287	ENSG00000153187	FSM	176	B090287
B055532	ENSG00000153187	NIC	301	B060100
B092437	ENSG00000153187	NNC	170	B092437
B021889	ENSG00000111647	FSM	522	B031112
B047838	ENSG00000111647	NIC	336	B047838
B061824	ENSG00000111647	NNC	275	B061824
B055436	ENSG00000152620	FSM	301	B069410
B100946	ENSG00000152620	NIC	141	B100946
B086144	ENSG00000152620	NNC	190	B086144
B050282	ENSG00000219626	FSM	324	B059175
B090410	ENSG00000219626	NIC	176	B090410
B093557	ENSG00000219626	NNC	166	B093557
B040952	ENSG00000117595	FSM	372	B045764
B047855	ENSG00000117595	NIC	336	B047855
B059684	ENSG00000117595	NNC	284	B059684
B104573	ENSG00000132677	FSM	128	B104573
B064349	ENSG00000132677	NIC	265	B072470
B088001	ENSG00000132677	NNC	184	B088001
B079233	ENSG00000136240	FSM	212	B079233
B111785	ENSG00000136240	NIC	103	B111785
B053707	ENSG00000136240	NNC	309	B053707
B074286	ENSG00000290439	FSM	229	B074286
B094366	ENSG00000290439	NIC	163	B094366
B108718	ENSG00000290439	NNC	114	B108718
B045350	ENSG00000213347	FSM	348	B045350
B076490	ENSG00000213347	NIC	222	B087211
B091173	ENSG00000213347	NNC	174	B091173
B059032	ENSG00000163605	FSM	286	B074409
B043193	ENSG00000163605	NIC	360	B033973
B099570	ENSG00000163605	NNC	146	B099570
B028525	ENSG00000188321	FSM	458	B024447
B024447	ENSG00000188321	NIC	496	B024447
B073645	ENSG00000188321	NNC	232	B078870
B014101	ENSG00000090621	FSM	631	B017882
B017882	ENSG00000090621	NIC	572	B017882
B054317	ENSG00000090621	NNC	306	B054317
B093669	ENSG00000116717	FSM	165	B099113
B109750	ENSG00000116717	NIC	110	B109750
B098989	ENSG00000116717	NNC	148	B098989
B053345	ENSG00000158220	FSM	310	B053345
B070119	ENSG00000158220	NIC	244	B070119
B047925	ENSG00000158220	NNC	336	B047925
B087838	ENSG00000126254	FSM	184	B087838
B052324	ENSG00000126254	NIC	315	B052324
B056270	ENSG00000126254	NNC	298	B065823
B050301	ENSG00000135069	FSM	324	B050301
B084826	ENSG00000135069	NIC	194	B084826
B051053	ENSG00000135069	NNC	321	B050301
B058031	ENSG00000113719	FSM	290	B072968
B072102	ENSG00000113719	NIC	237	B072102
B056525	ENSG00000113719	NNC	297	B056525
B027374	ENSG00000104112	FSM	468	B037485
B037485	ENSG00000104112	NIC	394	B037485
B027770	ENSG00000104112	NNC	465	B037485
B057815	ENSG00000123600	FSM	291	B058470
B063824	ENSG00000123600	NIC	267	B073820
B043831	ENSG00000123600	NNC	357	B052690
B054695	ENSG00000050426	FSM	304	B057523
B072618	ENSG00000050426	NIC	235	B081454
B087334	ENSG00000050426	NNC	186	B087334
B091232	ENSG00000113361	FSM	173	B091232
B074075	ENSG00000113361	NIC	230	B080030
B046477	ENSG00000113361	NNC	343	B054886
B005970	ENSG00000127980	FSM	858	B005970
B052093	ENSG00000127980	NIC	316	B052093
B062909	ENSG00000127980	NNC	271	B062909
B075736	ENSG00000291127	FSM	224	B076220
B090353	ENSG00000291127	NIC	176	B090353
B071960	ENSG00000291127	NNC	238	B076220
B092149	ENSG00000161692	FSM	170	B092149
B059364	ENSG00000161692	NIC	285	B059364
B097418	ENSG00000161692	NNC	153	B097418
B023690	ENSG00000121417	FSM	503	B020564
B014317	ENSG00000121417	NIC	628	B020564
B022147	ENSG00000121417	NNC	520	B020564
B066998	ENSG00000100601	FSM	255	B066998
B083904	ENSG00000100601	NIC	197	B087854
B051010	ENSG00000100601	NNC	321	B040042
B068338	ENSG00000172785	FSM	250	B068338
B055499	ENSG00000172785	NIC	301	B040318
B104534	ENSG00000172785	NNC	129	B108170
B026935	ENSG00000078070	FSM	472	B026935
B056475	ENSG00000078070	NIC	297	B056475
B058186	ENSG00000078070	NNC	290	B058186
B080097	ENSG00000265354	FSM	209	B085270
B102166	ENSG00000265354	NIC	137	B102166
B076878	ENSG00000265354	NNC	221	B085270
B046725	ENSG00000104852	FSM	341	B060375
B042766	ENSG00000104852	NIC	362	B041166
B085215	ENSG00000104852	NNC	193	B085215
B038371	ENSG00000167377	FSM	388	B038371
B013454	ENSG00000167377	NIC	644	B017783
B011549	ENSG00000167377	NNC	685	B017783
B078936	ENSG00000273899	FSM	213	B087109
B100365	ENSG00000273899	NIC	143	B100365
B080026	ENSG00000273899	NNC	210	B087109
B052002	ENSG00000107672	FSM	316	B053721
B046810	ENSG00000107672	NIC	341	B046810
B053721	ENSG00000107672	NNC	309	B053721
B053367	ENSG00000171466	FSM	310	B044236
B061049	ENSG00000171466	NIC	278	B061049
B069660	ENSG00000171466	NNC	246	B069660
B104854	ENSG00000164506	FSM	127	B104854
B039323	ENSG00000164506	NIC	382	B039323
B036928	ENSG00000164506	NNC	398	B036928
B040927	ENSG00000139668	FSM	372	B040927
B063808	ENSG00000139668	NIC	267	B063808
B090444	ENSG00000139668	NNC	176	B097635
B098740	ENSG00000028203	FSM	148	B098740
B062294	ENSG00000028203	NIC	273	B062294
B046617	ENSG00000028203	NNC	342	B046617
B063793	ENSG00000085117	FSM	267	B063793
B086059	ENSG00000085117	NIC	190	B086059
B071660	ENSG00000085117	NNC	239	B071660
B033260	ENSG00000007341	FSM	422	B025725
B056184	ENSG00000007341	NIC	298	B056184
B049304	ENSG00000007341	NNC	329	B049304
B025782	ENSG00000153317	FSM	483	B025782
B073553	ENSG00000153317	NIC	232	B073553
B059233	ENSG00000153317	NNC	286	B059233
B005377	ENSG00000006432	FSM	885	B005919
B086383	ENSG00000006432	NIC	189	B086383
B044341	ENSG00000006432	NNC	354	B044341
B057330	ENSG00000142875	FSM	293	B057331
B077061	ENSG00000142875	NIC	220	B080253
B080876	ENSG00000142875	NNC	207	B080876
B041667	ENSG00000157470	FSM	368	B041667
B060813	ENSG00000157470	NIC	279	B064700
B085887	ENSG00000157470	NNC	191	B085887
B054236	ENSG00000110063	FSM	306	B059289
B070030	ENSG00000110063	NIC	244	B070030
B065858	ENSG00000110063	NNC	260	B075312
B051117	ENSG00000158864	FSM	320	B051117
B060786	ENSG00000158864	NIC	279	B068330
B091783	ENSG00000158864	NNC	172	B091783
B045336	ENSG00000151657	FSM	348	B045336
B079308	ENSG00000151657	NIC	212	B086086
B083675	ENSG00000151657	NNC	198	B083675
B039952	ENSG00000177082	FSM	378	B043212
B066764	ENSG00000177082	NIC	256	B066764
B087669	ENSG00000177082	NNC	185	B089732
B110219	ENSG00000226025	FSM	108	B110219
B093175	ENSG00000226025	NIC	167	B097942
B114929	ENSG00000226025	NNC	92	B114929
B078417	ENSG00000109805	FSM	215	B089813
B064629	ENSG00000109805	NIC	264	B064629
B060926	ENSG00000109805	NNC	279	B060926
B096983	ENSG00000105229	FSM	154	B096983
B065150	ENSG00000105229	NIC	262	B065150
B100732	ENSG00000105229	NNC	142	B100732
B093980	ENSG00000112972	FSM	164	B093980
B066596	ENSG00000112972	NIC	257	B078634
B050612	ENSG00000112972	NNC	323	B050612
B059512	ENSG00000130540	FSM	284	B067979
B085793	ENSG00000130540	NIC	191	B088777
B108466	ENSG00000130540	NNC	115	B108466
B039028	ENSG00000137145	FSM	384	B050622
B031134	ENSG00000137145	NIC	438	B031134
B066656	ENSG00000137145	NNC	257	B066656
B057821	ENSG00000158793	FSM	291	B057821
B076433	ENSG00000158793	NIC	222	B077073
B060923	ENSG00000158793	NNC	279	B060923
B057334	ENSG00000116127	FSM	293	B067027
B098280	ENSG00000116127	NIC	150	B098280
B049305	ENSG00000116127	NNC	329	B049305
B012951	ENSG00000149474	FSM	654	B013014
B035634	ENSG00000149474	NIC	406	B035634
B112693	ENSG00000149474	NNC	100	B112693
B054016	ENSG00000132604	FSM	307	B054016
B061043	ENSG00000132604	NIC	278	B051645
B024124	ENSG00000132604	NNC	499	B033809
B059278	ENSG00000112357	FSM	285	B050509
B075549	ENSG00000112357	NIC	225	B075549
B066646	ENSG00000112357	NNC	257	B066646
B109661	ENSG00000054356	FSM	110	B109661
B049896	ENSG00000054356	NIC	326	B049896
B053261	ENSG00000054356	NNC	311	B053261
B040653	ENSG00000119547	FSM	374	B040653
B073256	ENSG00000119547	NIC	233	B073256
B056505	ENSG00000119547	NNC	297	B056505
B056624	ENSG00000117479	FSM	296	B056624
B060826	ENSG00000117479	NIC	279	B061375
B053533	ENSG00000117479	NNC	310	B062841
B047353	ENSG00000171307	FSM	338	B047353
B088861	ENSG00000171307	NIC	181	B091969
B108175	ENSG00000171307	NNC	116	B108175
B070843	ENSG00000103064	FSM	241	B070843
B054040	ENSG00000103064	NIC	307	B054040
B074448	ENSG00000103064	NNC	229	B084365
B012904	ENSG00000198919	FSM	655	B012904
B055040	ENSG00000198919	NIC	303	B055040
B068810	ENSG00000198919	NNC	249	B081426
B049605	ENSG00000087191	FSM	327	B041831
B090022	ENSG00000087191	NIC	177	B091694
B037416	ENSG00000087191	NNC	395	B041831
B071770	ENSG00000149476	FSM	238	B071770
B062548	ENSG00000149476	NIC	272	B070135
B050270	ENSG00000149476	NNC	325	B050270
B051122	ENSG00000151718	FSM	320	B066211
B097387	ENSG00000151718	NIC	153	B097387
B082450	ENSG00000151718	NNC	202	B090159
B110230	ENSG00000082781	FSM	108	B110230
B090423	ENSG00000082781	NIC	176	B090423
B043451	ENSG00000082781	NNC	359	B043451
B055664	ENSG00000196139	FSM	300	B059599
