unique_id	gene	category	length	cluster	msa_depth	plddt_mean	frac_plddt70	frac_plddt90	ptm	n_res
B004243	ENSG00000122965	FSM	948	B005589	17132	67.37	0.5854	0.1698	0.505	948
B004245	ENSG00000100095	FSM	948	B004245	8264	67.16	0.5949	0.3186	0.479	948
B004252	ENSG00000014164	FSM	948	B004252	8721	47.10	0.2078	0.0570	0.395	948
B004253	ENSG00000129083	FSM	948	B004982	3713	79.54	0.8354	0.1297	0.597	948
B004270	ENSG00000103226	FSM	946	B002657	3414	83.02	0.8732	0.4133	0.425	946
B004295	ENSG00000089639	FSM	944	B007280	11376	67.00	0.5424	0.4608	0.418	944
B004296	ENSG00000006704	FSM	944	B004296	1473	62.85	0.5180	0.3453	0.3	944
B004347	ENSG00000101161	FSM	941	B007661	3155	70.85	0.7163	0.0000	0.503	941
B004352	ENSG00000126883	NIC	941	B004352	1087	36.90	0.0000	0.0000	0.181	941
B004355	ENSG00000047849	NNC	941	B004355	3493	43.71	0.0956	0.0000	0.269	941
B004362	ENSG00000018236	FSM	940	B004362	7832	88.43	0.9564	0.6064	0.429	940
B004397	ENSG00000137497	NIC	938	B004397	332	73.68	0.7058	0.0448	0.3	938
B004482	ENSG00000119720	NIC	933	B002566	1768	80.94	0.8092	0.3901	0.828	933
B004512	ENSG00000126777	NIC	931	B005719	1503	74.99	0.7508	0.1096	0.285	931
B004621	ENSG00000112685	FSM	924	B007531	3515	73.73	0.7110	0.1061	0.496	924
B004663	ENSG00000129219	FSM	922	B004905	9099	85.25	0.8525	0.6258	0.877	922
B004666	ENSG00000088179	FSM	922	B004666	19507	75.12	0.7126	0.4544	0.453	922
B004690	ENSG00000122965	NIC	921	B005589	16917	67.24	0.5820	0.1661	0.495	921
B004719	ENSG00000241945	FSM	919	B006483	8010	83.76	0.8564	0.5506	0.77	919
B004753	ENSG00000035681	FSM	917	B008941	10459	88.21	0.9029	0.7372	0.632	917
B004868	ENSG00000162415	FSM	911	B006128	1902	83.76	0.8606	0.5434	0.725	911
B004949	ENSG00000124608	FSM	907	B004949	18830	88.29	0.9372	0.5877	0.676	907
B004972	ENSG00000148516	FSM	906	B004972	20135	47.98	0.2053	0.0519	0.302	906
B005055	ENSG00000067596	NIC	902	B002982	31770	74.63	0.7084	0.1663	0.584	902
B005092	ENSG00000133131	FSM	900	B007218	8999	63.47	0.5344	0.3322	0.569	900
B005156	ENSG00000154760	NIC	897	B008813	4951	82.40	0.8640	0.2932	0.782	897
B005168	ENSG00000101577	FSM	896	B005275	6777	58.12	0.3973	0.1975	0.527	896
B005170	ENSG00000088930	FSM	896	B007802	10443	76.12	0.7098	0.5056	0.746	896
B005208	ENSG00000013364	FSM	893	B008055	2693	80.22	0.8130	0.1982	0.44	893
B005250	ENSG00000085433	FSM	891	B006346	7228	65.80	0.5511	0.2884	0.462	891
B005303	ENSG00000122729	FSM	889	B007658	20480	93.39	0.9966	0.8178	0.901	889
B005309	ENSG00000144857	NIC	889	B005593	10878	72.45	0.6839	0.4241	0.432	889
B005319	ENSG00000164078	FSM	888	B005319	16426	75.54	0.7050	0.3716	0.448	888
B005334	ENSG00000135829	NNC	888	B005334	12299	75.81	0.7297	0.4381	0.668	888
B005346	ENSG00000031003	FSM	887	B005346	8433	57.00	0.4149	0.1409	0.377	887
B005377	ENSG00000006432	FSM	885	B005919	13587	53.79	0.3424	0.1989	0.46	885
B005401	ENSG00000167258	NIC	884	B005401	14105	55.35	0.3167	0.1833	0.49	884
B005415	ENSG00000152578	FSM	883	B007999	11811	81.79	0.8290	0.4134	0.506	883
B005530	ENSG00000177119	FSM	877	B006062	9175	81.54	0.8438	0.3170	0.817	877
B005653	ENSG00000116406	FSM	871	B005653	17979	78.33	0.7463	0.5488	0.607	871
B005679	ENSG00000166025	FSM	870	B006398	1895	58.83	0.3713	0.2724	0.28	870
B005742	ENSG00000197299	NNC	868	B005742	18212	49.69	0.2938	0.2327	0.424	868
B005756	ENSG00000129173	FSM	867	B008501	4806	48.64	0.2445	0.0208	0.417	867
B005781	ENSG00000132837	FSM	866	B008137	18292	91.92	0.9411	0.8972	0.891	866
B005843	ENSG00000082805	NIC	864	B005843	1702	78.87	0.7928	0.2407	0.267	864
B005893	ENSG00000157657	FSM	861	B007586	2629	61.50	0.5250	0.0221	0.538	861
B005894	ENSG00000165359	FSM	861	B007723	2912	64.65	0.5366	0.1231	0.556	861
B005963	ENSG00000167658	FSM	858	B008745	20736	88.82	0.9592	0.5839	0.787	858
B005968	ENSG00000160633	FSM	858	B006240	10085	49.72	0.2086	0.0967	0.287	858
B005970	ENSG00000127980	FSM	858	B005970	27751	71.57	0.6935	0.1492	0.568	858
B005975	ENSG00000064042	NIC	858	B005975	7805	50.34	0.2413	0.1037	0.286	858
B005987	ENSG00000112742	FSM	857	B005987	8928	61.59	0.4959	0.3081	0.459	857
B005993	ENSG00000158528	FSM	857	B005993	12272	59.88	0.4317	0.2357	0.328	857
B006006	ENSG00000150990	FSM	856	B006006	19728	67.89	0.5900	0.2371	0.618	856
B006064	ENSG00000197136	FSM	854	B008544	1559	67.17	0.6311	0.0679	0.618	854
B006143	ENSG00000160957	FSM	851	B007793	17950	77.24	0.7568	0.3713	0.751	851
B006183	ENSG00000177853	NNC	850	B006183	1176	39.09	0.0447	0.0000	0.263	850
B006240	ENSG00000160633	NIC	847	B006240	10523	52.25	0.2491	0.1558	0.285	847
B006255	ENSG00000174371	FSM	846	B007734	5674	59.50	0.4220	0.3345	0.548	846
B006362	ENSG00000157426	FSM	841	B006362	3848	74.87	0.7265	0.3306	0.619	841
B006467	ENSG00000111581	FSM	837	B008219	1967	72.63	0.7133	0.1350	0.578	837
B006499	ENSG00000187554	FSM	836	B010177	3359	88.92	0.9127	0.6830	0.699	836
B006519	ENSG00000097096	FSM	835	B006519	949	42.82	0.0527	0.0168	0.278	835
B006794	ENSG00000186185	NNC	824	B010234	23460	60.87	0.4454	0.2706	0.53	824
B006808	ENSG00000008277	FSM	823	B009815	12656	73.56	0.6902	0.2880	0.678	823
B006815	ENSG00000189079	NNC	823	B007249	8422	48.44	0.2515	0.0838	0.271	823
B006905	ENSG00000006062	FSM	819	B006905	9656	61.89	0.4884	0.3309	0.534	819
B006906	ENSG00000152223	FSM	819	B006906	526	89.04	0.9280	0.7057	0.777	819
B006939	ENSG00000119844	FSM	818	B007484	1568	43.81	0.1002	0.0086	0.308	818
B006940	ENSG00000197530	NIC	818	B004486	7359	82.89	0.8399	0.5306	0.51	818
B006952	ENSG00000084710	FSM	817	B007780	1663	79.25	0.7650	0.4308	0.709	817
B006956	ENSG00000169862	FSM	817	B009129	3572	64.57	0.4957	0.4406	0.631	817
B006985	ENSG00000127081	FSM	816	B007956	12656	52.35	0.4338	0.0000	0.353	816
B007024	ENSG00000104044	FSM	814	B007024	8046	69.28	0.6327	0.1720	0.594	814
B007027	ENSG00000163689	FSM	814	B007027	2081	54.70	0.3440	0.2039	0.449	814
B007063	ENSG00000123908	FSM	813	B008597	10566	90.25	0.9606	0.7245	0.862	813
B007073	ENSG00000152990	NIC	813	B008364	2420	60.41	0.4760	0.1796	0.459	813
B007084	ENSG00000006740	FSM	812	B007084	10417	62.85	0.4766	0.3670	0.472	812
B007087	ENSG00000118482	FSM	812	B007087	8433	43.19	0.0727	0.0603	0.331	812
B007169	ENSG00000075702	FSM	809	B009857	4633	84.75	0.8356	0.7244	0.851	809
B007275	ENSG00000005889	FSM	805	B008931	16236	54.83	0.3876	0.0099	0.305	805
B007330	ENSG00000095539	FSM	803	B008753	6933	79.31	0.7609	0.5928	0.767	803
B007335	ENSG00000082438	NIC	803	B007787	781	44.12	0.0262	0.0025	0.255	803
B007357	ENSG00000187045	FSM	802	B007357	27371	86.64	0.8940	0.6521	0.744	802
B007401	ENSG00000055130	NNC	801	B007401	9541	82.68	0.8602	0.4245	0.666	801
B007412	ENSG00000145241	FSM	800	B004309	457	37.50	0.0112	0.0000	0.23	800
B007413	ENSG00000145390	FSM	800	B011584	3641	59.27	0.4313	0.3825	0.553	800
B007415	ENSG00000134215	NIC	800	B009468	20298	82.90	0.8488	0.4600	0.544	800
B007499	ENSG00000083520	FSM	796	B007499	13837	84.76	0.8442	0.5276	0.786	796
B007548	ENSG00000163848	FSM	794	B012360	12623	46.73	0.1751	0.0264	0.312	794
B007566	ENSG00000085552	NNC	794	B007566	5788	61.19	0.4824	0.3174	0.426	794
B007585	ENSG00000147324	NIC	793	B005361	11304	79.18	0.8020	0.3846	0.739	793
B007616	ENSG00000072121	FSM	791	B007616	640	66.38	0.6220	0.0240	0.491	791
B007624	ENSG00000164675	FSM	791	B008479	2743	72.62	0.6890	0.1896	0.523	791
B007645	ENSG00000118503	FSM	790	B011345	2295	71.02	0.6367	0.3215	0.533	790
B007646	ENSG00000136937	FSM	790	B009038	2105	91.08	0.9405	0.8354	0.891	790
B007758	ENSG00000149091	FSM	786	B007758	10950	80.09	0.7875	0.4885	0.619	786
B007776	ENSG00000154305	FSM	785	B009972	1954	67.47	0.5096	0.4153	0.3	785
B007827	ENSG00000174791	FSM	783	B011847	3373	65.51	0.5530	0.3372	0.424	783
B007866	ENSG00000148337	NIC	782	B007866	2639	48.29	0.2225	0.0895	0.296	782
B007892	ENSG00000187187	FSM	781	B010253	15488	36.24	0.0730	0.0000	0.276	781
B007900	ENSG00000168067	NIC	781	B007748	17915	76.83	0.7247	0.4097	0.535	781
B007914	ENSG00000115808	FSM	780	B012213	9788	67.42	0.5282	0.4141	0.527	780
B007916	ENSG00000275052	FSM	780	B007916	4133	75.78	0.7179	0.5295	0.662	780
B007976	ENSG00000173320	NNC	779	B008382	1141	46.07	0.1463	0.0526	0.279	779
B007985	ENSG00000176049	FSM	778	B008319	1348	77.35	0.7571	0.2468	0.259	778
B007988	ENSG00000166024	FSM	778	B007988	2314	46.36	0.1992	0.0514	0.354	778
B008020	ENSG00000169962	FSM	777	B008332	6284	86.99	0.9138	0.5598	0.657	777
B008047	ENSG00000198218	FSM	776	B014071	2392	54.77	0.3776	0.2358	0.496	776
B008059	ENSG00000108883	NIC	776	B006151	16805	88.18	0.9420	0.5760	0.738	776
B008114	ENSG00000133687	FSM	774	B011087	6745	87.56	0.8798	0.7817	0.727	774
B008119	ENSG00000186716	FSM	774	B009174	14709	82.19	0.8230	0.4548	0.605	774
B008133	ENSG00000099769	NIC	774	B014085	13531	75.05	0.7145	0.5724	0.713	774
B008208	ENSG00000075213	FSM	771	B013899	7424	83.38	0.8016	0.6083	0.809	771
B008258	ENSG00000138641	NIC	770	B004629	22078	88.20	0.9416	0.5922	0.77	770
B008311	ENSG00000143344	FSM	768	B008311	4881	67.48	0.5898	0.2240	0.585	768
B008319	ENSG00000176049	NIC	768	B008319	1338	77.81	0.7773	0.2852	0.274	768
B008345	ENSG00000136935	FSM	767	B011177	2213	75.30	0.7027	0.4042	0.269	767
B008382	ENSG00000173320	NIC	766	B008382	1112	46.13	0.1319	0.0405	0.283	766
B008485	ENSG00000157077	FSM	762	B008485	15457	43.54	0.1207	0.0879	0.334	762
B008580	ENSG00000166598	NNC	760	B010338	21601	79.93	0.7513	0.4289	0.676	760
B008641	ENSG00000110888	NNC	758	B006423	6477	47.06	0.2045	0.1728	0.397	758
B008678	ENSG00000278318	NIC	757	B008678	4506	55.77	0.3923	0.0000	0.357	757
B008736	ENSG00000198945	FSM	755	B008837	10288	71.43	0.6265	0.4358	0.563	755
B008761	ENSG00000197694	NNC	755	B008761	11693	85.07	0.8808	0.5099	0.446	755
B008810	ENSG00000188786	FSM	753	B008810	2998	45.22	0.2284	0.0027	0.321	753
B008852	ENSG00000058866	FSM	752	B008852	12857	75.91	0.7354	0.3258	0.63	752
B008858	ENSG00000078747	FSM	752	B004669	18905	72.60	0.6941	0.2473	0.609	752
B008921	ENSG00000153113	FSM	750	B012932	1285	51.04	0.1707	0.0000	0.231	750
B008942	ENSG00000127081	NNC	750	B007956	13904	60.50	0.5400	0.0120	0.399	750
B008948	ENSG00000065882	NNC	750	B007036	10453	68.75	0.5773	0.4520	0.571	750
B008955	ENSG00000101310	FSM	749	B013700	4477	85.80	0.8879	0.5474	0.833	749
B008962	ENSG00000248919	FSM	749	B013710	2738	68.17	0.6088	0.3298	0.634	749
B008977	ENSG00000153113	NIC	749	B012932	1281	50.61	0.1709	0.0000	0.236	749
B008985	ENSG00000181381	NNC	749	B014477	12176	79.10	0.7597	0.3578	0.756	749
B008999	ENSG00000139324	FSM	748	B007843	8352	92.59	0.9759	0.8128	0.812	748
B009024	ENSG00000187187	NIC	748	B010253	16610	67.27	0.6818	0.0000	0.32	748
B009058	ENSG00000177595	FSM	747	B009058	8554	70.58	0.6479	0.1232	0.449	747
B009109	ENSG00000168769	FSM	745	B012489	534	39.16	0.0000	0.0000	0.165	745
B009140	ENSG00000162378	FSM	744	B012016	2013	90.60	0.9462	0.7849	0.848	744
B009142	ENSG00000198521	FSM	744	B009593	4088	56.63	0.1788	0.0000	0.299	744
B009169	ENSG00000143190	FSM	743	B009250	10894	45.26	0.1736	0.0942	0.318	743
B009181	ENSG00000198826	NIC	743	B009181	817	43.62	0.0363	0.0000	0.24	743
B009196	ENSG00000006282	FSM	742	B011973	21873	92.69	0.9704	0.8221	0.929	742
B009209	ENSG00000151491	NIC	742	B009209	10822	70.32	0.5930	0.3437	0.464	742
B009319	ENSG00000122779	FSM	739	B009319	18127	59.21	0.4290	0.2815	0.387	739
B009321	ENSG00000164659	NIC	739	B005934	3010	81.61	0.8376	0.3139	0.584	739
B009339	ENSG00000174358	NNC	739	B009339	15686	76.43	0.7984	0.3234	0.762	739
B009349	ENSG00000135775	FSM	738	B016168	2427	78.29	0.8374	0.1192	0.598	738
B009366	ENSG00000048828	NIC	738	B006082	1958	59.35	0.4187	0.3211	0.525	738
B009495	ENSG00000053108	FSM	734	B009495	14899	81.54	0.8079	0.4741	0.704	734
B009570	ENSG00000140265	FSM	732	B006146	16220	57.19	0.4385	0.1052	0.346	732
B009613	ENSG00000163346	FSM	731	B010776	1062	54.96	0.3434	0.0793	0.336	731
B009745	ENSG00000103994	FSM	727	B005299	3659	65.28	0.5461	0.4457	0.574	727
B009750	ENSG00000115159	FSM	727	B015983	15899	83.44	0.8459	0.5131	0.791	727
B009768	ENSG00000159915	NIC	727	B011415	11624	45.38	0.2985	0.0000	0.325	727
B009795	ENSG00000159267	FSM	726	B009795	4150	76.07	0.7273	0.4518	0.711	726
B009798	ENSG00000158623	FSM	726	B007358	3582	85.54	0.9091	0.5634	0.651	726
B009841	ENSG00000135040	FSM	725	B011227	1460	88.37	0.9062	0.6676	0.849	725
B009844	ENSG00000151025	FSM	725	B009844	2546	71.20	0.6524	0.2248	0.513	725
B009874	ENSG00000196757	FSM	724	B016953	18775	66.48	0.6008	0.0000	0.323	724
B009876	ENSG00000096384	FSM	724	B015663	24439	81.36	0.7804	0.5000	0.668	724
B009934	ENSG00000122729	NIC	723	B007658	20424	93.37	1.0000	0.7842	0.895	723
B009992	ENSG00000160294	FSM	721	B009992	754	75.27	0.7393	0.2386	0.64	721
B010002	ENSG00000155275	NIC	721	B010002	3023	73.17	0.6838	0.3745	0.646	721
B010020	ENSG00000091039	FSM	720	B010020	9027	71.07	0.6042	0.4153	0.552	720
B010022	ENSG00000131115	FSM	720	B010022	16057	62.63	0.6292	0.0000	0.371	720
B010072	ENSG00000088038	NIC	719	B010098	5128	56.53	0.3588	0.1892	0.324	719
B010082	ENSG00000165731	NIC	719	B010082	20512	65.76	0.5480	0.3227	0.49	719
B010107	ENSG00000133059	FSM	718	B015416	7205	80.88	0.7953	0.3719	0.693	718
B010108	ENSG00000002822	FSM	718	B012160	1457	77.13	0.7535	0.1894	0.283	718
B010143	ENSG00000100242	FSM	717	B012158	5263	64.30	0.4895	0.1604	0.392	717
B010229	ENSG00000006747	FSM	715	B011721	9622	75.95	0.7329	0.2000	0.442	715
B010231	ENSG00000165732	FSM	715	B010863	24913	73.98	0.7245	0.3510	0.68	715
B010233	ENSG00000156599	FSM	715	B015234	15517	54.71	0.3287	0.2364	0.489	715
B010234	ENSG00000186185	FSM	715	B010234	22656	56.48	0.3888	0.2084	0.452	715
B010250	ENSG00000226763	NNC	715	B010250	177	35.62	0.0000	0.0000	0.155	715
B010251	ENSG00000143515	NNC	715	B010251	18795	77.15	0.7678	0.2434	0.644	715
B010261	ENSG00000221955	FSM	714	B017459	7987	65.59	0.5644	0.1429	0.655	714
B010262	ENSG00000075945	FSM	714	B010262	2660	79.64	0.7871	0.5826	0.743	714
B010286	ENSG00000126804	FSM	713	B013453	3512	56.59	0.4264	0.1024	0.304	713
B010289	ENSG00000283761	FSM	713	B017141	6673	75.24	0.7644	0.1108	0.563	713
B010338	ENSG00000166598	FSM	712	B010338	21027	82.39	0.7992	0.4663	0.696	712
B010387	ENSG00000248919	NIC	711	B013710	1733	69.54	0.6273	0.3966	0.67	711
B010472	ENSG00000162302	FSM	709	B008767	31712	73.72	0.6573	0.2835	0.511	709
B010477	ENSG00000162650	NIC	709	B011018	2424	48.68	0.1326	0.0592	0.268	709
B010480	ENSG00000177853	NIC	709	B006040	9471	45.10	0.2285	0.0000	0.276	709
B010497	ENSG00000055163	NNC	709	B010497	2100	85.49	0.8717	0.5402	0.582	709
B010499	ENSG00000108840	NNC	709	B011228	2143	50.77	0.2087	0.1269	0.314	709
B010504	ENSG00000176915	FSM	708	B005594	2672	60.45	0.4972	0.1384	0.523	708
B010515	ENSG00000198961	FSM	708	B010972	14632	43.31	0.1172	0.0099	0.299	708
B010562	ENSG00000135249	FSM	707	B011226	1178	88.50	0.9052	0.6874	0.752	707
B010563	ENSG00000106462	FSM	707	B011863	13804	68.73	0.5941	0.1528	0.57	707
B010597	ENSG00000054219	FSM	706	B010597	10933	83.31	0.8428	0.4703	0.784	706
B010622	ENSG00000147789	NIC	706	B011473	16599	60.52	0.5609	0.0127	0.31	706
B010634	ENSG00000140471	NNC	706	B013769	1359	63.81	0.5255	0.1926	0.655	706
B010658	ENSG00000262246	FSM	705	B006385	16513	84.45	0.8270	0.6908	0.63	705
B010735	ENSG00000165731	FSM	703	B012478	20476	76.75	0.7155	0.4552	0.485	703
